timestamp,volSM_vol%,T_C,TDRlevel,EC_dS_m,volSM_comp_vol%,sensorID,Field,depth_cm
2017-08-15T15:56:02+00:00,27.94,25.4,76.0,1.53,25.08,T36560,C2,5.0
2017-08-15T15:59:01+00:00,27.95,25.4,76.0,1.53,25.09,T36560,C2,5.0
2017-08-15T15:53:06+00:00,32.85,25.6,60.4,3.46,29.99,T36561,D2,5.0
2017-08-15T15:56:06+00:00,32.81,25.5,60.4,3.46,29.95,T36561,D2,5.0
2017-08-15T15:59:06+00:00,32.77,25.5,60.3,3.47,29.91,T36561,D2,5.0
2017-08-15T15:56:11+00:00,23.27,25.7,65.4,2.78,20.41,T36562,D1,2.5
2017-08-15T15:59:11+00:00,23.24,25.6,65.3,2.79,20.38,T36562,D1,2.5
2017-08-15T17:56:21+02:00,28.85,25.9,69.8,2.32,25.99,T36564,D1,10.0
2017-08-15T17:59:21+02:00,28.73,25.8,69.5,2.35,25.87,T36564,D1,10.0
2017-08-15T17:56:26+02:00,30.43,24.3,68.2,2.14,27.57,T36565,D1,20.
2017-08-15T17:55:03+02:00,27.68,25.5,78.1,1.5,24.82,T36547,A2,5.0
2017-08-15T17:58:03+02:00,27.71,25.5,78.1,1.5,24.85,T36547,A2,5.0
2017-08-15T17:58:08+02:00,30.09,26.1,59.2,3.7,27.23,T36549,C1,2.5
2017-08-15T18:01:07+02:00,30.1,26.1,59.3,3.69,27.24,T36549,C1,2.5
2017-08-15T17:58:27+02:00,28.0,25.3,71.0,2.37,25.14,T36553,B2,5.0
2017-08-15T18:01:27+02:00,27.98,25.3,71.0,2.37,25.12,T36553,B2,5.0
2017-08-15T17:58:32+02:00,21.81,25.4,70.3,2.15,18.95,T36554,A1,2.5
2017-08-15T18:01:31+02:00,21.78,25.3,70.3,2.15,18.92,T36554,A1,2.5
2017-08-15T17:58:47+02:00,30.29,25.2,60.8,3.37,27.43,T36557,B1,2.5
2017-08-15T18:01:46+02:00,30.28,25.1,60.9,3.36,27.42,T36557,B1,2.5
